Implementation,Operations,Threads,Time(μs)
gemini,1000,2,176
gemini,1000,4,197
gemini,1000,8,423
gemini,1000,16,699
gemini,10000,2,667
gemini,10000,4,776
gemini,10000,8,1221
gemini,10000,16,1336
gemini,100000,2,5292
gemini,100000,4,5522
gemini,100000,8,6450
gemini,100000,16,6905
gemini,1000000,2,51926
gemini,1000000,4,55023
gemini,1000000,8,62806
gemini,1000000,16,67977
gemini,10000000,2,570634
gemini,10000000,4,589844
gemini,10000000,8,651963
gemini,10000000,16,719538
