Implementation,Operations,Threads,Time(μs)
o4,1000,2,243
o4,1000,4,208
o4,1000,8,270
o4,1000,16,543
o4,10000,2,908
o4,10000,4,600
o4,10000,8,418
o4,10000,16,1598
o4,100000,2,7778
o4,100000,4,4298
o4,100000,8,2774
o4,100000,16,2150
o4,1000000,2,93796
o4,1000000,4,47940
o4,1000000,8,23844
o4,1000000,16,15643
o4,10000000,2,754432
o4,10000000,4,415655
o4,10000000,8,246156
o4,10000000,16,153297
