threads,iterations,duration(um)
2,100,109
2,1000,95
2,10000,312
2,100000,3022
2,1000000,40392
2,10000000,400583
4,100,127
4,1000,99
4,10000,359
4,100000,2990
4,1000000,45690
4,10000000,446152
8,100,243
8,1000,249
8,10000,452
8,100000,3269
8,1000000,56295
8,10000000,536239
16,100,773
16,1000,408
16,10000,788
16,100000,4774
16,1000000,90197
16,10000000,809341
