threads,iterations,duration(um)
2,100,174
2,1000,369
2,10000,2246
2,100000,20182
2,1000000,206579
2,10000000,1999836
4,100,815
4,1000,548
4,10000,1593
4,100000,12922
4,1000000,136020
4,10000000,1264331
8,100,622
8,1000,613
8,10000,3734
8,100000,11019
8,1000000,94204
8,10000000,944141
16,100,513
16,1000,554
16,10000,1321
16,100000,8722
16,1000000,81789
16,10000000,805666
