250,1000000,2,1112
250,1000000,4,1076
250,1000000,8,1129
250,1000000,16,1155
250,10000000,2,11201
250,10000000,4,10914
250,10000000,8,11354
250,10000000,16,11655
1000,1000000,2,3094
1000,1000000,4,3241
1000,1000000,8,3300
1000,1000000,16,3349
1000,10000000,2,31044
1000,10000000,4,31644
1000,10000000,8,32947
1000,10000000,16,33770
10000,1000000,2,37444
10000,1000000,4,37224
10000,1000000,8,39410
10000,1000000,16,37320
10000,10000000,2,391521
10000,10000000,4,377096
10000,10000000,8,393840
10000,10000000,16,392980
