threads,iterations,dur_lock,dur_tran
2,100,114,163
2,1000,90,448
2,10000,1564,46875
2,100000,96940,3069973
2,1000000,13152321,171007923
4,100,119,253
4,1000,127,586
4,10000,4358,309426
4,100000,248816,13695915
4,1000000,37822716,470294032
8,100,405,323
8,1000,427,29216
8,10000,12274,940231
8,100000,674492,41969302
8,1000000,89725672,1069500143
16,100,456,768
16,1000,1266,172045
16,10000,33870,5263182
16,100000,2158772,140496485
