threads,iterations,dur_lock,dur_tran
2,100,96,160
2,1000,95,437
2,10000,2430,229247
2,100000,114817,8476809
2,1000000,15310838,215058672
4,100,157,179
4,1000,110,562
4,10000,3831,686396
4,100000,253402,24652562
4,1000000,38116337,574706859
8,100,464,380
8,1000,287,1009
8,10000,7491,2167702
8,100000,550729,54791506
8,1000000,85117282,1264715752
16,100,799,1075
16,1000,717,70372
16,10000,22301,6074187
16,100000,2100582,181156764
16,1000000,195324955,0
